.pl 16959
CisloPrijemky;DatumVydeje;CisloDodavatele;NazevDodavatele;CisloKarty;NazevZbozi;MernaJednotka;NakupCena;SazbaD;VPal;VKart;Prijato
--DATA--
00012$;737796$;00984$;BARVY A LAKY HOSTIVAØ a.s.$;0838$;Šampon Nivea 250ml Volume$;ks$;43.47$;21$;0$;6$;6
00012$;737796$;00984$;BARVY A LAKY HOSTIVAØ a.s.$;1016$;Leštìnka Pronto spray hnìdá 250ml$;ks$;53.25$;21$;0$;12$;60
00012$;737796$;00984$;BARVY A LAKY HOSTIVAØ a.s.$;4976$;\o\Barva SU 2013/4400 0.75l modrá$;ks$;108.61$;21$;0$;0$;6
00012$;737796$;00984$;BARVY A LAKY HOSTIVAØ a.s.$;2461$;Osvìovaè spray Sanytol 300ml dezinfekèn$;ks$;49.06$;21$;0$;12$;48
00012$;737796$;00984$;BARVY A LAKY HOSTIVAØ a.s.$;3489$;Prací gel Sanytol 1650ml dezinfekèní$;ks$;128.95$;21$;0$;6$;60
00012$;737796$;00984$;BARVY A LAKY HOSTIVAØ a.s.$;1483$;Univerzal Sidolux obsahem sody 1l Marsei$;ks$;26.60$;21$;0$;12$;60
00012$;737796$;00984$;BARVY A LAKY HOSTIVAØ a.s.$;0948$;Voda po holení Windsor 100ml$;ks$;22.90$;21$;0$;10$;30
00013$;737796$;01029$;PYTLÍK, a.s.$;2986$;\o\Pytle 120L/100mi 70x110cm èerven nebe$;ks$;6.79$;21$;0$;100$;300
00013$;737796$;01029$;PYTLÍK, a.s.$;5853$;Pytle  70L/30mi  60x80cm 20ks èernı$;rol$;19.00$;21$;0$;25$;100
00013$;737796$;01029$;PYTLÍK, a.s.$;4515$;Pytle  80L/200mi 55x100cm silné èerné$;ks$;6.54$;21$;0$;50$;200
00013$;737796$;01029$;PYTLÍK, a.s.$;0446$;Pytle 120L/60mi 70x110cm role-20ks èerná$;rol$;46.80$;21$;420$;10$;420
00013$;737796$;01029$;PYTLÍK, a.s.$;2180$;Pytle 200L/80mi 100x120cm role-5ks èerné$;rol$;28.75$;21$;0$;15$;150
00013$;737796$;01029$;PYTLÍK, a.s.$;2738$;Pytle 240L/100mi 120x150cm 1ks èerné$;ks$;8.95$;21$;0$;25$;100
00013$;737796$;01029$;PYTLÍK, a.s.$;4739$;Sáèky do koše 16l 45x52 /50ks bílé/trans$;rol$;8.00$;21$;0$;40$;80
00013$;737796$;01029$;PYTLÍK, a.s.$;2980$;Sáèky do koše 30l 50x60 /10mi zatah.L15$;rol$;11.25$;21$;0$;50$;200
00013$;737796$;01029$;PYTLÍK, a.s.$;5972$;Sáèky do koše 60l 60x80 /15mi zatah.10ZE$;rol$;11.90$;21$;0$;50$;200
00013$;737796$;01029$;PYTLÍK, a.s.$;2546$;Sáèky do koše 60l 60x80 /40mi zatah 10èe$;rol$;15.90$;21$;0$;25$;250
00013$;737796$;01029$;PYTLÍK, a.s.$;0419$;Sáèky do koše 60l 60x85 /10mi 25ks modrı$;rol$;14.75$;21$;0$;40$;200
00013$;737796$;01029$;PYTLÍK, a.s.$;3474$;Sáèky do koše 60l 63x74 /7mi 50ks bílı$;rol$;12.50$;21$;0$;40$;200
00013$;737796$;01029$;PYTLÍK, a.s.$;1246$;Sáèky do koše 70l 63x85 /8mi 40ks bílı$;rol$;15.60$;21$;0$;9$;90
